date,net_profit_yi,non_gaap_yi,net_profit_ttm_yi,non_gaap_ttm_yi,quarter,trade_date,adj_close,close,quarter_label,profit_ttm_yi
2019-09-30,1.140917,1.139702,2.879324,2.7915089999999996,2019Q3,2019-09-30,3.312749147415161,4.684615135192871,2019Q3,2.7915089999999996
2019-12-31,0.105659,0.102575,2.906426,2.811234,2019Q4,2019-12-31,3.3290679454803467,4.7076921463012695,2019Q4,2.811234
2020-03-31,0.22913,0.079213,2.942367,2.7173899999999995,2020Q1,2020-03-31,3.1114823818206787,4.400000095367432,2020Q1,2.7173899999999995
2020-06-30,2.243148,1.139135,3.7188540000000003,2.4606250000000003,2020Q2,2020-06-30,3.1365365982055664,4.12307596206665,2020Q2,2.4606250000000003
2020-09-30,0.983145,0.94797,3.5610820000000003,2.2688930000000003,2020Q3,2020-09-30,3.575417995452881,4.699999809265137,2020Q3,2.2688930000000003
2020-12-31,0.507291,0.363892,3.962714,2.5302100000000003,2020Q4,2020-12-31,3.990892171859741,5.246152877807617,2020Q4,2.5302100000000003
2021-03-31,0.449364,0.446168,4.1829480000000006,2.897165,2021Q1,2021-03-31,4.113779067993164,5.407691955566406,2021Q1,2.897165
2021-06-30,1.917161,1.880422,3.856961,3.638452,2021Q2,2021-06-30,3.858962297439575,4.800000190734863,2021Q2,3.638452
2021-09-30,1.626118,1.557667,4.499934,4.248149,2021Q3,2021-09-30,5.3184404373168945,6.615384101867676,2021Q3,4.248149
2021-12-31,0.493769,0.51034,4.486412,4.394597,2021Q4,2021-12-31,7.928186893463135,9.86153793334961,2021Q4,4.394597
2022-03-31,0.652152,0.627833,4.6892,4.576262,2022Q1,2022-03-31,7.64989709854126,9.51538372039795,2022Q1,4.576262
2022-06-30,2.466469,2.380376,5.2385079999999995,5.0762160000000005,2022Q2,2022-06-30,8.01051139831543,9.5,2022Q2,5.0762160000000005
2022-09-30,2.084215,2.023939,5.696605,5.5424880000000005,2022Q3,2022-09-30,9.831849098205566,11.65999984741211,2022Q3,5.5424880000000005
2022-12-31,-0.316372,-0.299351,4.886463999999999,4.732797,2022Q4,2022-12-30,8.533303260803223,10.119999885559082,2022Q4,4.732797
2023-03-31,0.536487,0.514833,4.770798999999999,4.619797,2023Q1,2023-03-31,7.909326076507568,9.380000114440918,2023Q1,4.619797
2023-06-30,2.482232,2.482423,4.786562,4.721844,2023Q2,2023-06-30,8.215167999267578,9.359999656677246,2023Q2,4.721844
2023-09-30,2.304487,2.031067,5.0068340000000005,4.728972000000001,2023Q3,2023-09-28,8.680342674255371,9.890000343322754,2023Q3,4.728972000000001
2023-12-31,0.257845,0.304927,5.581051,5.33325,2023Q4,2023-12-29,9.522924423217773,10.850000381469727,2023Q4,5.33325
2024-03-31,0.779247,0.752334,5.823811000000001,5.5707510000000005,2024Q1,2024-03-29,9.206954956054688,10.489999771118164,2024Q1,5.5707510000000005
2024-06-30,3.380105,3.253549,6.721684,6.341877,2024Q2,2024-06-28,11.440102577209473,12.550000190734863,2024Q2,6.341877
2024-09-30,2.076923,2.082996,6.49412,6.3938060000000005,2024Q3,2024-09-30,12.919912338256836,13.949999809265137,2024Q3,6.3938060000000005
2024-12-31,0.76707,0.79607,7.003345,6.884949000000001,2024Q4,2024-12-31,13.123666763305664,14.170000076293945,2024Q4,6.884949000000001
2025-03-31,1.003369,0.975355,7.227466999999999,7.107970000000001,2025Q1,2025-03-31,11.113903045654297,12.0,2025Q1,7.107970000000001
2025-06-30,2.690504,2.641568,6.537865999999999,6.495989000000001,2025Q2,2025-06-30,10.370294570922852,10.90999984741211,2025Q2,6.495989000000001
2025-09-30,2.139754,2.105518,6.600697,6.518511,2025Q3,2025-09-30,9.676407814025879,10.180000305175781,2025Q3,6.518511
2025-12-31,0.612355,0.563272,6.445981999999999,6.285713000000001,2025Q4,2025-12-31,10.170415878295898,10.600000381469727,2025Q4,6.285713000000001
2026-03-31,0.930797,0.884003,6.37341,6.194361000000001,2026Q1,2026-03-31,9.450810432434082,9.850000381469727,2026Q1,6.194361000000001
