date,close,ttm_cny,market_cap_hkd,pe_ttm
2022-05-24,40.75,71.62,4583.1,57.59
2022-05-25,41.75,71.62,4695.6,59.01
2022-05-26,41.75,71.62,4695.6,59.01
2022-05-27,42.75,71.62,4808.0,60.42
2022-05-30,43.25,71.62,4864.3,61.13
2022-05-31,43.8,71.62,4926.1,61.9
2022-06-01,43.3,71.62,4869.9,61.2
2022-06-02,42.95,71.62,4830.5,60.7
2022-06-06,43.9,71.62,4937.4,62.04
2022-06-07,42.7,71.62,4802.4,60.35
2022-06-08,42.65,71.62,4796.8,60.28
2022-06-09,41.95,71.62,4718.0,59.29
2022-06-10,41.8,71.62,4701.2,59.08
2022-06-13,40.7,71.62,4577.5,57.52
2022-06-14,41.5,71.62,4667.4,58.65
2022-06-15,41.8,71.62,4701.2,59.08
2022-06-16,40.5,71.62,4555.0,57.24
2022-06-17,41.4,71.62,4656.2,58.51
2022-06-20,42.65,71.62,4796.8,60.28
2022-06-21,43.6,71.62,4903.6,61.62
2022-06-22,42.6,71.62,4791.2,60.21
2022-06-23,43.7,71.62,4914.9,61.76
2022-06-24,44.3,71.62,4982.3,62.61
2022-06-27,45.0,71.62,5061.1,63.6
2022-06-28,45.5,71.62,5117.3,64.31
2022-06-29,44.55,71.62,5010.5,62.96
2022-06-30,45.05,77.48,5066.7,58.85
2022-07-04,45.3,77.48,5094.8,59.18
2022-07-05,45.05,77.48,5066.7,58.85
2022-07-06,45.25,77.48,5089.2,59.12
2022-07-07,45.5,77.48,5117.3,59.44
2022-07-08,45.5,77.48,5117.3,59.44
2022-07-11,44.55,77.48,5010.5,58.2
2022-07-12,44.45,77.48,4999.2,58.07
2022-07-13,45.7,77.48,5139.8,59.7
2022-07-14,45.75,77.48,5145.4,59.77
2022-07-15,45.05,77.48,5066.7,58.85
2022-07-18,45.8,77.48,5151.1,59.83
2022-07-19,45.95,77.48,5167.9,60.03
2022-07-20,45.95,77.48,5167.9,60.03
2022-07-21,45.9,77.48,5162.3,59.96
2022-07-22,45.9,77.48,5162.3,59.96
2022-07-25,46.15,77.48,5190.4,60.29
2022-07-26,46.65,77.48,5246.7,60.94
2022-07-27,46.8,77.48,5263.5,61.14
2022-07-28,46.9,77.48,5274.8,61.27
2022-07-29,47.0,77.48,5286.0,61.4
2022-08-01,46.9,77.48,5274.8,61.27
2022-08-02,45.6,77.48,5128.6,59.57
2022-08-03,45.5,77.48,5117.3,59.44
2022-08-04,46.35,77.48,5212.9,60.55
2022-08-05,46.65,77.48,5246.7,60.94
2022-08-08,46.45,77.48,5224.2,60.68
2022-08-09,46.85,77.48,5269.1,61.21
2022-08-10,44.8,77.48,5038.6,58.53
2022-08-11,46.05,77.48,5179.2,60.16
2022-08-12,45.9,77.48,5162.3,59.96
2022-08-15,46.35,77.48,5212.9,60.55
2022-08-16,46.3,77.48,5207.3,60.49
2022-08-17,46.2,77.48,5196.0,60.36
2022-08-18,45.95,77.48,5167.9,60.03
2022-08-19,45.8,77.48,5151.1,59.83
2022-08-22,45.4,77.48,5106.1,59.31
2022-08-23,45.7,77.48,5139.8,59.7
2022-08-24,46.1,77.48,5184.8,60.23
2022-08-25,46.5,77.48,5229.8,60.75
2022-08-26,46.9,77.48,5274.8,61.27
2022-08-29,47.05,77.48,5291.6,61.47
2022-08-30,46.55,77.48,5235.4,60.81
2022-08-31,46.85,77.48,5269.1,61.21
2022-09-01,45.8,77.48,5151.1,59.83
2022-09-02,45.75,77.48,5145.4,59.77
2022-09-05,45.05,77.48,5066.7,58.85
2022-09-06,44.4,77.48,4993.6,58.01
2022-09-07,43.95,77.48,4943.0,57.42
2022-09-08,43.6,77.48,4903.6,56.96
2022-09-09,44.4,77.48,4993.6,58.01
2022-09-13,44.55,77.48,5010.5,58.2
2022-09-14,43.1,77.48,4847.4,56.31
2022-09-15,43.15,77.48,4853.0,56.37
2022-09-16,43.15,77.48,4853.0,56.37
2022-09-19,44.15,77.48,4965.5,57.68
2022-09-20,44.9,77.48,5049.8,58.66
2022-09-21,44.8,77.48,5038.6,58.53
2022-09-22,44.65,77.48,5021.7,58.33
2022-09-23,44.5,77.48,5004.8,58.14
2022-09-26,44.75,77.48,5033.0,58.46
2022-09-27,45.3,77.48,5094.8,59.18
2022-09-28,44.6,77.48,5016.1,58.27
2022-09-29,44.8,77.48,5038.6,58.53
2022-09-30,45.55,77.48,5122.9,59.51
