Date,股价_港元,CNYHKD,EPS_TTM_人民币,PE_TTM_近似
2022-03-15,30.700000762939453,1.230260968208313,0.5776,43.20300507246905
2022-03-16,32.599998474121094,1.2285890579223633,0.5776,45.939234284720335
2022-03-17,33.099998474121094,1.2309410572052002,0.5776,46.55469992298368
2022-03-18,33.099998474121094,1.2318129539489746,0.5776,46.52174776808051
2022-03-21,32.349998474121094,1.2283079624176025,0.5776,45.59737199499906
2022-03-22,33.75,1.2308510541915894,0.5776,47.47238932300422
2022-03-23,35.400001525878906,1.2293570041656494,0.5776,49.85377809435585
2022-03-24,35.099998474121094,1.2274819612503052,0.5776,49.50679304263349
2022-03-25,33.0,1.2285590171813965,0.5776,46.50404513736437
2022-03-28,31.0,1.2240179777145386,0.5776,43.847689403235336
2022-03-29,33.349998474121094,1.2283929586410522,0.5776,47.003620966460424
2022-03-30,36.349998474121094,1.2296949625015259,0.5776,51.1775885582107
2022-03-31,34.400001525878906,1.2332110404968262,0.5776,48.294077323022066
2022-04-01,35.04999923706055,1.235550045967102,0.62,45.7547284454343
2022-04-04,37.04999923706055,1.229956030845642,0.62,48.58552808956557
2022-04-06,37.0,1.2309629917144775,0.62,48.48027093951897
2022-04-07,35.849998474121094,1.232280969619751,0.62,46.92320956795169
2022-04-08,37.54999923706055,1.2322020530700684,0.62,49.15144780645873
2022-04-11,33.099998474121094,1.2322789430618286,0.62,43.32387128229934
2022-04-12,35.70000076293945,1.230334997177124,0.62,46.80078720344512
2022-04-13,34.75,1.2312079668045044,0.62,45.5230867635165
2022-04-14,36.849998474121094,1.2310240268707275,0.62,48.28133335541644
2022-04-19,34.45000076293945,1.2200349569320679,0.62,45.54338139564768
2022-04-20,34.75,1.2268420457839966,0.62,45.68508822254885
2022-04-21,32.349998474121094,1.2219680547714233,0.62,42.699493403290155
2022-04-22,32.599998474121094,1.216025948524475,0.62,43.239737411850975
2022-04-25,31.0,1.2086080312728882,0.62,41.3699054666555
2022-04-26,33.25,1.1963740587234497,0.62,44.82630818264946
2022-04-27,33.400001525878906,1.1961749792099,0.62,45.03602828961818
2022-04-28,34.0,1.195773959159851,0.62,45.860431444709626
2022-04-29,36.20000076293945,1.184425950050354,0.62,49.29569299140974
2022-05-03,36.45000076293945,1.1873170137405396,0.62,49.515271095104445
2022-05-04,35.0,1.1880079507827759,0.62,47.517874662395954
2022-05-05,34.54999923706055,1.1879669427871704,0.62,46.908548726383984
2022-05-06,32.0,1.1794220209121704,0.62,43.76118328356189
2022-05-10,30.0,1.1662960052490234,0.62,41.48783546923159
2022-05-11,30.799999237060547,1.1653480529785156,0.62,42.6288249225805
2022-05-12,29.75,1.1674070358276367,0.62,41.10294823923485
2022-05-13,31.149999618530273,1.1561180353164673,0.62,43.45744407909385
2022-05-16,31.799999237060547,1.1548000574111938,0.62,44.41489331502044
2022-05-17,32.79999923706055,1.1568739414215088,0.62,45.72946341145801
2022-05-18,33.150001525878906,1.1648499965667725,0.62,45.90096969924656
2022-05-19,32.0,1.1618889570236206,0.62,44.421545547710366
2022-05-20,32.650001525878906,1.1688220500946045,0.62,45.05501310435857
2022-05-23,31.899999618530273,1.173393964767456,0.62,43.84854007507084
2022-05-24,31.049999237060547,1.179618000984192,0.62,42.4549675309795
2022-05-25,29.100000381469727,1.179540991783142,0.62,39.7913127336829
2022-05-26,28.350000381469727,1.1722420454025269,0.62,39.007137857084146
2022-05-27,29.0,1.164566993713379,0.62,40.164450650658814
2022-05-30,29.899999618530273,1.171957015991211,0.62,41.14980769627546
2022-05-31,30.25,1.178225040435791,0.62,41.41002007782745
2022-06-01,33.20000076293945,1.1757429838180542,0.62,45.54429757550507
2022-06-02,31.799999237060547,1.1733779907226562,0.62,43.711678381242805
2022-06-06,34.04999923706055,1.1785409450531006,0.62,46.59944471058468
2022-06-07,34.45000076293945,1.1791750192642212,0.62,47.12151839363997
2022-06-08,36.849998474121094,1.1757789850234985,0.62,50.54987558625645
2022-06-09,34.849998474121094,1.1740609407424927,0.62,47.87628393694116
2022-06-10,35.599998474121094,1.1728869676589966,0.62,48.95557198680435
2022-06-13,33.900001525878906,1.1668779850006104,0.62,46.85787418973812
2022-06-14,35.099998474121094,1.162642002105713,0.62,48.69332147142224
2022-06-15,34.79999923706055,1.1651350259780884,0.62,48.173842323896096
2022-06-16,33.54999923706055,1.169098973274231,0.62,46.28598881043231
2022-06-17,34.5,1.170604944229126,0.62,47.535388915486244
2022-06-20,34.79999923706055,1.1676510572433472,0.62,48.070038286977116
2022-06-21,36.099998474121094,1.1732059717178345,0.62,49.62965190610338
